#t	#pc00001	#pc00002	#pc00003
410	-0.023121	-0.004922	 0.013166
411	-0.040876	-0.003067	 0.012763
412	-0.005890	-0.009432	 0.007126
413	 0.005892	-0.001807	-0.002850
414	-0.007472	 0.034127	-0.020314
415	 0.043208	-0.002203	 0.012023
416	-0.001425	-0.014682	 0.012020
417	 0.010392	 0.008153	-0.028746
418	 0.013067	 0.008773	-0.016741
419	 0.014787	 0.030249	 0.007648
420	-0.011501	-0.005409	-0.041178
421	-0.014742	-0.019080	-0.005161
422	 0.015766	 0.005944	 0.015695
423	-0.009268	 0.041765	-0.012711
424	-0.000613	 0.003423	-0.013822
425	-0.022287	-0.021410	 0.010448
426	 0.010113	-0.005483	 0.007202
427	-0.006082	-0.008627	 0.009992
428	 0.019716	-0.012433	-0.024363
429	 0.033310	-0.011837	-0.009053
430	 0.041330	 0.010658	 0.024651
431	 0.039964	 0.011102	 0.006306
432	 0.015034	 0.007362	 0.017423
433	-0.016640	-0.011882	 0.009871
434	 0.008176	-0.003254	 0.009585
435	-0.006322	-0.014017	-0.007760
436	-0.001847	 0.042812	-0.046622
437	-0.050093	 0.013893	 0.005141
438	 0.046479	 0.002917	-0.011446
439	-0.024368	-0.028476	 0.001873
440	 0.014163	-0.014708	 0.003827
441	 0.007817	 0.020893	-0.011497
442	-0.018428	-0.004086	-0.002915
443	 0.020312	-0.003732	-0.012582
444	-0.063073	-0.017021	-0.004110
445	-0.048917	-0.000374	-0.005987
446	-0.044364	 0.011352	-0.005423
447	-0.011919	-0.002231	-0.021824
448	 0.004331	-0.012124	-0.008477
449	 0.007277	-0.009771	-0.008764
450	 0.008722	-0.036003	-0.000334
451	 0.008846	-0.019380	 0.015571
452	-0.013968	 0.012931	-0.019100
453	 0.041990	 0.061026	-0.025733
454	-0.005493	 0.033112	-0.019721
455	-0.003663	 0.017403	-0.004505
456	 0.019171	 0.008665	-0.004365
457	-0.019694	 0.007827	-0.010146
458	-0.032854	-0.015295	 0.014116
459	-0.020776	-0.008660	 0.002081
460	-0.006307	-0.011782	-0.001770
461	 0.041353	-0.022594	-0.009050
462	 0.006843	-0.018372	-0.002329
463	-0.033676	 0.022818	 0.005510
464	-0.017420	-0.013901	-0.001957
465	 0.029671	-0.014857	 0.001874
466	-0.022773	-0.007491	 0.000971
467	 0.011749	 0.003153	 0.016370
468	-0.034177	-0.032569	-0.002166
469	-0.025722	 0.006486	 0.000109
470	-0.002582	 0.016384	-0.016068
471	 0.013545	 0.006569	 0.001228
472	-0.037148	 0.008000	 0.027648
473	-0.033217	 0.000096	-0.012803
474	 0.005223	-0.009002	 0.013861
475	 0.044670	-0.023453	-0.027221
476	-0.024684	-0.028864	-0.009026
477	-0.007983	 0.003715	-0.007139
478	 0.056595	 0.003764	 0.001955
479	 0.009185	-0.031890	 0.024239
480	-0.000993	-0.019504	-0.009082
481	-0.038252	 0.002357	 0.007964
482	-0.029471	-0.005791	 0.014189
483	 0.005063	-0.013491	 0.008556
484	-0.018925	 0.008714	-0.002130
485	 0.025257	 0.066415	-0.038886
486	-0.009577	 0.015088	 0.004887
487	-0.002872	 0.017555	-0.001613
488	-0.035981	-0.010531	-0.028494
489	-0.027904	 0.002154	 0.016549
490	-0.005203	-0.013719	-0.015477
491	-0.040910	 0.010249	 0.012342
492	 0.024833	-0.018189	-0.015572
493	 0.009979	-0.013544	 0.001099
494	-0.043471	 0.017672	 0.009373
495	 0.023766	 0.000500	 0.011237
496	 0.022000	-0.012787	 0.015630
497	-0.021927	-0.009757	-0.007309
498	-0.044455	 0.006628	 0.009867
499	-0.042109	-0.013878	 0.024541
500	-0.027842	-0.010214	-0.016344
