    #t	      pc1	      pc2	      pc3
7180.0	 0.002960	-0.012270	 0.008920
7200.0	 0.018480	-0.040450	 0.004590
7220.0	 0.040290	-0.001050	-0.000840
7240.0	 0.019380	 0.008770	-0.037920
7260.0	 0.025500	 0.036550	 0.015330
7280.0	-0.005480	-0.008280	 0.006160
7300.0	 0.020190	 0.002100	-0.017520
7320.0	 0.046850	 0.023320	 0.016710
7340.0	-0.043960	 0.013090	-0.003250
7360.0	 0.077000	 0.024290	-0.053190
7380.0	 0.011070	-0.015470	-0.007450
7400.0	 0.012120	 0.010870	 0.006210
7420.0	-0.021990	 0.004000	-0.004530
7440.0	 0.000250	 0.005460	-0.005730
7460.0	-0.025870	 0.037720	 0.014630
7480.0	-0.005000	-0.010610	-0.011810
7500.0	-0.043250	-0.011380	-0.032400
7520.0	-0.003990	 0.000260	-0.012990
7540.0	-0.014720	-0.012980	-0.004840
7560.0	-0.007450	 0.008000	 0.000410
7580.0	-0.017240	-0.004400	-0.022610
7600.0	 0.000580	-0.003230	-0.020180
7620.0	-0.010160	-0.019340	 0.008440
7640.0	-0.041550	 0.038940	-0.002790
7660.0	-0.022350	-0.012760	 0.013390
7680.0	-0.038770	-0.009970	-0.002600
7700.0	-0.001050	 0.002560	 0.014230
7720.0	 0.018860	-0.005060	 0.002020
7740.0	 0.015830	 0.011960	-0.004530
7760.0	-0.003160	-0.020990	-0.008670
7780.0	 0.019910	-0.007480	 0.008040
7800.0	-0.028800	 0.004020	-0.024480
7820.0	-0.010490	 0.008370	 0.011340
7840.0	 0.017320	-0.006680	-0.000700
7860.0	 0.005730	 0.002930	-0.003680
7880.0	 0.009100	-0.008340	-0.015800
7900.0	 0.008540	-0.023260	 0.026580
7920.0	 0.007810	-0.004220	 0.004070
7940.0	 0.015010	 0.044400	-0.004180
7960.0	 0.017970	 0.002870	-0.000580
7980.0	 0.037890	 0.010990	-0.010270
8000.0	-0.042830	 0.019500	 0.037130
8020.0	 0.001250	-0.003420	 0.021700
8040.0	 0.007260	 0.010520	 0.017340
8060.0	-0.005510	-0.005810	-0.001410
8080.0	-0.049750	 0.023490	 0.018060
8100.0	-0.002270	 0.024790	 0.004340
8120.0	-0.012230	 0.004770	 0.007340
8140.0	-0.014380	 0.015210	-0.010660
8160.0	-0.041240	 0.018200	 0.001800
8180.0	-0.020850	-0.014430	 0.004070
8200.0	-0.023120	 0.004920	-0.013170
8220.0	-0.040880	 0.003070	-0.012760
8240.0	-0.005890	 0.009430	-0.007130
8260.0	 0.005890	 0.001810	 0.002850
8280.0	-0.007470	-0.034130	 0.020310
8300.0	 0.043210	 0.002200	-0.012020
8320.0	-0.001430	 0.014680	-0.012020
8340.0	 0.010390	-0.008150	 0.028740
8360.0	 0.013070	-0.008770	 0.016740
8380.0	 0.014790	-0.030250	-0.007650
8400.0	-0.011500	 0.005410	 0.041180
8420.0	-0.014740	 0.019080	 0.005160
8440.0	 0.015770	-0.005940	-0.015700
8460.0	-0.009270	-0.041760	 0.012710
8480.0	-0.000610	-0.003420	 0.013820
8500.0	-0.022290	 0.021410	-0.010450
8520.0	 0.010110	 0.005480	-0.007200
8540.0	-0.006080	 0.008630	-0.009990
8560.0	 0.019720	 0.012430	 0.024360
8580.0	 0.033310	 0.011840	 0.009050
8600.0	 0.041330	-0.010660	-0.024650
8620.0	 0.039970	-0.011100	-0.006310
8640.0	 0.015030	-0.007360	-0.017420
8660.0	-0.016640	 0.011880	-0.009870
8680.0	 0.008180	 0.003250	-0.009590
8700.0	-0.006320	 0.014020	 0.007760
8720.0	-0.001850	-0.042810	 0.046620
8740.0	-0.050090	-0.013890	-0.005140
8760.0	 0.046480	-0.002920	 0.011440
8780.0	-0.024370	 0.028480	-0.001870
8800.0	 0.014160	 0.014710	-0.003830
8820.0	 0.007820	-0.020890	 0.011500
8840.0	-0.018430	 0.004090	 0.002920
8860.0	 0.020310	 0.003730	 0.012580
8880.0	-0.063070	 0.017020	 0.004110
8900.0	-0.048920	 0.000370	 0.005990
8920.0	-0.044360	-0.011350	 0.005420
8940.0	-0.011920	 0.002230	 0.021820
8960.0	 0.004330	 0.012120	 0.008480
8980.0	 0.007280	 0.009770	 0.008770
9000.0	 0.008720	 0.036000	 0.000340
9020.0	 0.008850	 0.019380	-0.015570
9040.0	-0.013970	-0.012930	 0.019100
9060.0	 0.041990	-0.061020	 0.025730
9080.0	-0.005490	-0.033110	 0.019720
9100.0	-0.003660	-0.017400	 0.004500
9120.0	 0.019170	-0.008660	 0.004360
9140.0	-0.019690	-0.007830	 0.010150
9160.0	-0.032850	 0.015300	-0.014120
9180.0	-0.020780	 0.008660	-0.002080
9200.0	-0.006310	 0.011780	 0.001770
9220.0	 0.041350	 0.022590	 0.009050
9240.0	 0.006840	 0.018370	 0.002330
9260.0	-0.033680	-0.022820	-0.005510
9280.0	-0.017420	 0.013900	 0.001960
9300.0	 0.029670	 0.014860	-0.001870
9320.0	-0.022770	 0.007490	-0.000970
9340.0	 0.011750	-0.003150	-0.016370
9360.0	-0.034180	 0.032570	 0.002170
9380.0	-0.025720	-0.006480	-0.000110
9400.0	-0.002580	-0.016380	 0.016070
9420.0	 0.013550	-0.006570	-0.001230
9440.0	-0.037150	-0.008000	-0.027650
9460.0	-0.033220	-0.000100	 0.012800
9480.0	 0.005220	 0.009000	-0.013860
9500.0	 0.044670	 0.023450	 0.027220
9520.0	-0.024680	 0.028860	 0.009030
9540.0	-0.007980	-0.003710	 0.007140
9560.0	 0.056590	-0.003760	-0.001960
9580.0	 0.009190	 0.031890	-0.024240
9600.0	-0.000990	 0.019500	 0.009080
9620.0	-0.038250	-0.002360	-0.007960
9640.0	-0.029470	 0.005790	-0.014190
9660.0	 0.005060	 0.013490	-0.008560
9680.0	-0.018930	-0.008710	 0.002130
9700.0	 0.025260	-0.066410	 0.038880
9720.0	-0.009580	-0.015090	-0.004890
9740.0	-0.002870	-0.017550	 0.001610
9760.0	-0.035980	 0.010530	 0.028490
9780.0	-0.027900	-0.002150	-0.016550
9800.0	-0.005200	 0.013720	 0.015480
9820.0	-0.040910	-0.010250	-0.012340
9840.0	 0.024830	 0.018190	 0.015570
9860.0	 0.009980	 0.013540	-0.001100
9880.0	-0.043470	-0.017670	-0.009370
9900.0	 0.023770	-0.000500	-0.011240
9920.0	 0.022000	 0.012790	-0.015630
9940.0	-0.021930	 0.009760	 0.007310
9960.0	-0.044460	-0.006630	-0.009870
9980.0	-0.042110	 0.013880	-0.024540
10000.0	-0.027840	 0.010210	 0.016340
